,X1,sample_id,lake_id,lake_name,sa_ha,lake_type,ecoregion_3,trip_num,county,year,date_sampled,sample_location,lat,long,max_depth_m,secchi_m,lt_trans_3ft_per,lt_level_1per_ft,water_col_oxic_per,ph_epi,ph_hypo,cond_epi,cond_hypo,alk_epi,alk_hypo,no3_epi,no3_hypo,nh3_epi,nh3_hypo,tkn_epi,tkn_hypo,srp_epi,srp_hypo,tp_epi,tp_hypo,chla_ug_L,micro_ug_L,pktn_cells_mL,pktn_num_L,bg_dom_nu_per,bg_dom_cell_per,bg_num_L,bg_cell_mL,green_num_L,green_cell_mL,diatoms_nu_L,diatoms_cells_mL,other_algae_nu_L,other_algae_cells_mL,rotifer_num_L,rotifers_cell_mL,zoo_num_L,zoo_cells_mL,alk_avg,cond_avg,ph_avg,no3_avg,nh3_avg,tkn_avg,orgn_avg,srp_avg,tp_avg,tsi_sd,tsi_chla,tsi_tp_avg,tsi_tp_epi,tsi_comb,tn_avg,tn_epi,tn_hypo,not_sampled,tsi_int
35,47,2374,323,Goodman,1.21,Surface Mine Lake,72,6,Greene,2015,22-Jul-15,deep hole,39.01283,-87.23573,7.92,3.1,3.11,11.152,100,8.2,8.1,1216,1312,231.5,185,0.046,0.046,0.018,0.185,0.4375,0.778,0.01,0.01,0.01,0.01,2.06,NA,147777,1158040,60.1,99,696367,146237,27670,28,NA,NA,433500,1512,381,0,122,0,208.25,1264,8.15,0.046,0.1015,0.60775,0.50625,0.01,0.01,44,38,37,37,40,NA,NA,NA,FALSE,Mesotrophic
15,117,2468,1283,Mayfield,6.07,Surface Mine Lake,72,5,Sullivan,2016,20-Jul-16,Deep Hole,38.99222,-87.23472,7.6,5.1,33.13,21.3,NA,7.5,6.65,2140,2930,180,214.5,0.0086,0.0086,0.141,0.466,NA,NA,0.002,0.002,0.007,0.002,1.378,NA,294,80185,20.5,36,16444,105,21923,148,9865,9,31791,32,60,0,102,0,197.25,2535,7.075,0.0086,0.3035,NA,0,0.002,0.0045,36,34,26,32,32,NA,0.224,0.467,FALSE,Oligotrophic
313,75,2410,316,Crystal,3.24,Surface Mine Lake,72,9,Greene,2015,4-Aug-15,deep hole,39.1184,-87.23438,10.97,1.7,19.7,10.824,63.63,7.7,7,1610,2520,226,630,0.013,0.043,0.018,6.805,0.5265,8.723,0.01,0.154,0.046,NA,NA,NA,213647,6776161,78.3,99,5304995,211006,731108,1900,35664,36,704360,705,20,0,14,0,428,2065,7.35,0.028,3.4115,4.62475,1.21325,0.082,0.046,52,NA,59,59,NA,NA,NA,NA,FALSE,NA
1,250,2616,301,Airline,10.12,Surface Mine Lake,72,5,Greene,2017,11-Jul-17,Deep Hole,39.0292,-87.23434,21,6.3,60,41,52.4,7.5,6.7,1270,4571,83,1992,0.008,0.167,0.014,52.801,NA,NA,NA,NA,0.002,3.97,0.398,NA,6717,563693,60.7,92,342034,6208,191538,479,16417,17,13682,13,14,0,8,0,1037.5,2920.5,7.1,0.0875,26.4075,NA,0,NA,1.986,33,22,114,14,56,NA,0.418,39.865,FALSE,Oligotrophic
52,115,2466,311,Chapel pit,1.21,Surface Mine Lake,72,5,Greene,2016,20-Jul-16,Deep Hole,39.02667,-87.23167,5.8,2.75,13.65,11.5,NA,6.4,6.3,259,353,76,126,0.0086,0.0086,0.106,0.088,NA,NA,0.004,0.002,0.023,0.031,2.683,NA,8171,1270967,44.7,86,568392,7001,581767,582,NA,NA,120366,588,341,0,101,0,101,306,6.35,0.0086,0.097,NA,0,0.003,0.027,45,40,52,49,46,NA,0.357,0.412,FALSE,Mesotrophic
102,50,2377,360,Sycamore,2.83,Surface Mine Lake,72,6,Greene,2015,22-Jul-15,deep hole,38.9709,-87.23136667,7.62,1,21.15,18.04,100,8.1,7.6,326,391,343,413,0.063,0.043,0.018,0.053,0.511,0.499,0.01,0.01,0.01,NA,4.58,NA,3109743,6437969,99.4,100,6401657,3109672,NA,NA,NA,NA,35664,71,216,0,432,0,378,358.5,7.85,0.053,0.0355,0.505,0.4695,0.01,0.01,60,45,37,37,47,NA,NA,NA,FALSE,Mesotrophic
27,320,2705,352,Scott,4.86,Surface Mine Lake,72,7,Greene,2018,26-Jul-18,Deep Hole,39.0110445,-87.2300053,14.6,4.2,440,16.4,NA,8.1,7,1572,3401,161,168,0.008,0.008,0.026,NA,NA,NA,0.013,1.083,0.042,0.097,1.591,NA,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,12,0,164.5,2486.5,7.55,0.008,0.026,NA,0,0.548,0.0695,39,35,65,58,46,NA,0.793,2.546,FALSE,Oligotrophic
107,52,2379,363,Trimble,3.64,Surface Mine Lake,72,6,Greene,2015,22-Jul-15,deep hole,39.00182,-87.22481,3.04,1.5,17.15,9.84,100,7.5,NA,2800,NA,156,NA,0.025,NA,0.018,NA,0.5125,NA,0.01,NA,0.019,NA,5.01,NA,145137,535057,89.8,100,480406,145083,NA,NA,NA,NA,54552,54,5,0,94,0,156,2800,7.5,0.025,0.018,0.5125,0.4945,0.01,0.019,54,46,47,47,49,NA,NA,NA,FALSE,Mesotrophic
37,131,2482,358,Star,2.02,Surface Mine Lake,72,7,Greene,2016,27-Jul-16,Deep Hole,39.00112,-87.21848,7.62,3.6,20.6,15,NA,7.25,6.85,NA,NA,118.5,328,0.0086,0.0086,0.015,0.753,NA,NA,0.006,0.289,0.013,0.176,2.227,NA,8462,1890483,28.3,83,534958,7061,1319562,1365,NA,NA,35664,36,147,0,152,0,223.25,NA,7.05,0.0086,0.384,NA,0,0.1475,0.0945,42,38,70,41,50,NA,0.164,1.337,FALSE,Mesotrophic
83,197,2564,1480,West,39.2,Surface Mine Lake,72,6,Sullivan,2017,12-Jul-17,deep hole,39.03946,-87.20957,25,1,25.8,13,16,8.6,7.5,1047.9,640.2,138,147,0.008,0.36,0.014,0.019,NA,NA,0.002,0.002,0.028,0.041,3.41,NA,43737,8108130,92.9,98,7530189,43045,332729,394,175121,175,70048,123,36,0,7,0,142.5,844.05,8.05,0.184,0.0165,NA,0,0.002,0.0345,60,43,55,52,53,NA,0.348,0.9,FALSE,Mesotrophic
160,330,2715,121,Stump Jumper,2.39,Surface Mine Lake,72,8,Clay,2018,31-Jul-18,Deep Hole,39.45242,-87.19868,9.1,3.2,1070,22.3,NA,7.4,7.2,1772,1793,69,105,NA,NA,0.014,0.018,NA,NA,0.008,0.009,0.021,0.046,7.161,NA,0,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,98,0,87,1782.5,7.3,NA,0.016,NA,0,0.0085,0.0335,43,50,55,48,49,NA,0.471,0.747,FALSE,Mesotrophic
77,329,2714,119,Scheister,4.13,Surface Mine Lake,72,8,Clay,2018,31-Jul-18,Deep Hole,39.4597,-87.19722,14.9,5,287.9,19.352,NA,7.8,7.4,478.4,518.4,90,139,NA,NA,0.025,1.297,NA,NA,0.008,0.286,0.031,0.024,3.183,NA,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,17,0,114.5,498.4,7.6,NA,0.661,NA,0,0.147,0.0275,37,42,52,54,44,NA,0.519,0.31,FALSE,Mesotrophic
43,128,2479,119,Scheister,4.13,Surface Mine Lake,72,7,Clay,2016,27-Jul-16,Deep Hole,39.4604,-87.19654,14.63,4.7,21.56,22.1,NA,7.1,6.9,508,586,68,111,0.0086,0.0086,0.015,0.586,NA,NA,0.002,0.036,0.012,0.112,2.411,NA,14271,1187864,25.2,91,299577,13005,871982,1251,10700,10,5350,5,225,0,30,0,89.5,547,7,0.0086,0.3005,NA,0,0.019,0.062,38,39,64,40,47,NA,0.333,1.097,FALSE,Mesotrophic
55,196,2563,329,Horshoe,10.93,Surface Mine Lake,72,6,Greene,2017,12-Jul-17,deep hole,39.11443333,-87.16466667,7.3,3.45,20.1,12.5,54.8,8.8,6.9,241.6,240.8,49.5,61,0.022,0.008,0.014,0.014,NA,NA,0.002,0.002,0.016,0.04,2.486,NA,5759,604476,41.5,86,251007,4957,326894,775,5837,6,20431,21,187,0,120,0,55.25,241.2,7.85,0.015,0.014,NA,0,0.002,0.028,42,40,52,44,45,NA,0.558,0.846,FALSE,Mesotrophic
38,199,2566,1316,White Pine,0.81,Surface Mine Lake,72,6,Sullivan,2017,12-Jul-17,deep hole,39.01669,-87.14627,3.5,3.1,34.1,11.5,100,7.8,7.7,1153,1773,225.5,234,0.013,0.013,0.014,0.178,NA,NA,0.006,0.002,0.031,0.026,2.21,NA,925,422954,NA,NA,NA,NA,250453,728,143962,158,27609,38,750,1,180,0,229.75,1463,7.75,0.013,0.096,NA,0,0.004,0.0285,44,38,52,54,45,NA,0.691,0.458,FALSE,Mesotrophic
17,198,2565,325,Hammond,2.43,Surface Mine Lake,72,6,Greene,2017,12-Jul-17,deep hole,38.58191,-87.14481,8,5.7,35.3,29.25,100,8.1,6.9,1208,1229.4,178,1002,0.008,0.008,0.014,0.014,NA,NA,0.007,0.006,0.012,0.022,1.381,NA,1278,240588,14.9,43,35885,555,154308,674,11961,11,38277,38,97,0,60,0,590,1218.7,7.5,0.008,0.014,NA,0,0.0065,0.017,35,34,45,40,38,NA,0.284,0.387,FALSE,Oligotrophic
304,327,2712,792,Waveland,145.69,impoundment,55,8,Montgomery,2018,31-Jul-18,Deep Hole,39.88605,-87.08504,6,0.35,5.94,3.12,NA,8.1,7.5,215.4,223.6,91,121,NA,NA,0.26,1.094,NA,NA,0.015,0.07,0.049,0.121,146.596,NA,0,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,0,22,0,106,219.5,7.8,NA,0.677,NA,0,0.0425,0.085,75,79,68,60,74,NA,0.664,1.899,FALSE,Hypereutrophic
298,80,2417,792,Waveland,145.69,impoundment,55,11,Montgomery,2015,11-Aug-15,deep hole,39.88623,-87.08295,5,0.3,0.29,2.296,100,8.9,NA,256,303,112,NA,0.013,NA,0.018,NA,2.0395,NA,0.01,NA,NA,NA,96.04,NA,670285,7507766,80.6,99,6053935,666156,561706,3237,775688,776,115908,116,387,0,142,0,112,279.5,8.9,0.013,0.018,2.0395,2.0215,0.01,NA,77,75,NA,NA,NA,NA,NA,NA,FALSE,Hypereutrophic
156,249,2615,969,Mansfield Reservoir (Hardin),833.68,impoundment,72,12,Parke,2017,8-Aug-17,Deep Hole,39.71685,-87.07644,18,0.8,6.3,5,50,8.1,6.8,349.8,488.9,126,206,1.403,0.066,0.014,3.162,NA,NA,0.002,0.368,0.032,0.481,7.423,NA,445141,42151547,85.5,97,36039837,432479,4307967,10770,1243357,1331,560386,561,NA,NA,NA,NA,166,419.35,7.45,0.7345,1.588,NA,0,0.185,0.2565,63,50,84,54,66,NA,2.121,4.162,FALSE,Mesotrophic
256,81,2418,969,Mansfield Reservoir (Hardin),833.68,impoundment,72,11,Parke,2015,11-Aug-15,deep hole,39.71887,-87.07245,18.5,0.8,9.77,8.856,54.054,8.85,7.8,310,366,125.5,137,0.566,1.509,0.018,0.261,0.947,0.879,0.01,0.012,NA,NA,32.6,NA,89785,10422831,30.1,89,3138416,79931,7088187,9658,89160,89,106991,107,55,0,22,0,131.25,338,8.325,1.0375,0.1395,0.913,0.7735,0.011,NA,63,65,NA,NA,NA,NA,NA,NA,FALSE,Hypereutrophic
176,288,2674,1010,Loomis,25.09,natural lake,54,4,Porter,2018,10-Jul-18,Deep Hole,41.51385,-87.05622,16.5,1.9,977.1,9.512,NA,7.3,7.2,412.6,438.1,98,122,0.008,0.011,0.129,1.776,NA,NA,0.014,0.393,0.189,0.348,9.337,NA,0,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,0,7,0,110,425.35,7.25,0.0095,0.9525,NA,0,0.2035,0.2685,51,52,85,80,63,NA,1.867,2.219,FALSE,Eutrophic
85,201,2568,1010,Loomis,25.09,natural lake,54,7,Porter,2017,17-Jul-17,deep hole,41.51383,-87.05602,16.7,1.6,24.7,10.25,18,8.3,6.5,404.6,319.2,100,128,0.013,0.008,0.029,2.377,NA,NA,0.006,0.583,0.609,0.054,3.41,NA,7345,906324,8.2,40,74426,2938,774909,4349,26268,27,30646,31,61,0,14,0,114,361.9,7.4,0.0105,1.203,NA,0,0.2945,0.3315,53,43,88,97,61,NA,2.818,0.865,FALSE,Mesotrophic
84,200,2567,1009,Long,26.31,natural lake,54,7,Porter,2017,17-Jul-17,deep hole,41.52552,-87.04913,8.2,2.4,17.5,12.75,36.6,6.6,6.1,194.8,185,58,72,0.018,0.008,0.014,0.31,NA,NA,0.006,0.013,0.021,0.042,3.41,NA,6443,1077148,16.1,68,173369,4397,682971,1824,157609,158,63043,64,15,0,141,0,65,189.9,6.35,0.013,0.1595,NA,0,0.0095,0.0315,47,43,54,48,48,NA,0.852,1.224,FALSE,Mesotrophic
119,107,2458,1009,Long,26.31,natural lake,54,3,Porter,2016,11-Jul-16,Deep Hole,41.52568,-87.0489,9.14,2.1,16.8,12.3,NA,6.95,6.7,185,252,56.5,65,0.0086,0.0086,0.015,0.323,NA,NA,0.004,0.004,0.029,0.051,5.541,NA,9878,1257777,59.9,93,753399,9209,280853,446,75786,75,147114,147,563,1,62,0,60.75,218.5,6.825,0.0086,0.169,NA,0,0.004,0.04,49,47,57,53,51,NA,0.834,0.727,FALSE,Mesotrophic
117,29,2356,1009,Long,26.31,natural lake,54,3,Porter,2015,13-Jul-15,deep hole,41.52561,-87.04883,8.6,2.1,20.22,13.776,46.51,7.5,7,182,262,54,71,0.126,0.013,0.018,0.45,0.609,1.44,0.01,0.01,0.026,0.032,5.44,NA,90560,2692776,40.1,94,1078831,84817,1337395,5466,53496,54,222899,223,84,0,71,0,62.5,222,7.25,0.0695,0.234,1.0245,0.7905,0.01,0.029,49,47,53,51,50,NA,NA,NA,FALSE,Mesotrophic
182,28,2355,997,Canada,4.05,natural lake,54,3,Porter,2015,13-Jul-15,deep hole,41.5276,-87.04632,7,1.4,7.3,6.56,28.57,6.8,6.4,150,NA,45,68,0.013,0.018,0.018,0.573,0.752,2.063,0.01,0.062,0.026,0.136,10.39,NA,1841511,2354429,84.1,100,1979343,1840913,115908,161,NA,NA,258563,437,549,0,66,0,56.5,150,6.6,0.0155,0.2955,1.4075,1.112,0.036,0.081,55,54,68,51,59,NA,NA,NA,FALSE,Eutrophic
157,287,2672,997,Canada,4.05,natural lake,54,4,Porter,2018,10-Jul-18,Deep Hole,41.52765,-87.04617,6.7,6.7,631.9,5.904,NA,7.3,6.7,175,271.1,55,58,0.008,0.019,0.027,0.056,NA,NA,0.012,0.018,NA,NA,7.423,NA,0,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,0,78,0,56.5,223.05,7,0.0135,0.0415,NA,0,0.015,NA,33,50,NA,NA,NA,NA,NA,NA,FALSE,Mesotrophic
42,127,2478,1078,Chrisney,10.52,impoundment,72,4,Spencer,2016,18-Jul-16,Deep Hole,38.01878,-87.03957,4,1.3,10.96,7.5,NA,8.3,6.7,161,175,48,61,0.044,0.27,0.11,0.139,NA,NA,0.002,0.004,0.024,0.071,2.474,NA,9798,2593740,28.7,69,744263,6759,1794987,2985,17512,18,35024,35,836,0,1118,1,54.5,168,7.5,0.157,0.1245,NA,0,0.003,0.0475,56,39,60,50,52,NA,0.634,1.407,FALSE,Mesotrophic
8,188,2555,1078,Chrisney,10.52,impoundment,72,5,Spencer,2017,10-Jul-17,Deep Hole,38.010728,-87.023382,4.3,2.6,12.9,13,46.5,8.5,7.2,244.7,273,57,73,0.008,0.011,0.014,0.014,NA,NA,NA,NA,0.006,0.029,1.193,NA,750,610641,NA,NA,NA,NA,399861,538,131340,132,78803,80,500,0,137,0,65,258.85,7.85,0.0095,0.014,NA,0,NA,0.0175,46,32,45,30,41,NA,0.469,0.879,FALSE,Oligotrophic
311,73,2408,219,Huntingburg City,73.25,impoundment,72,9,Dubois,2015,4-Aug-15,deep hole,38.29699,-86.9818,6.1,0.6,3.25,6.232,66.66,7.1,7.2,129,249,40,88,0.015,0.055,0.018,1.487,1.0345,2.308,0.01,0.01,0.042,0.0705,NA,NA,260748,13837696,84.1,95,11644241,248195,1702949,12044,365555,384,124823,125,64,0,64,0,64,189,7.15,0.035,0.7525,1.67125,0.91875,0.01,0.05625,67,NA,62,58,NA,NA,NA,NA,FALSE,NA
275,189,2556,1080,Dale Reservoir,13.36,impoundment,72,5,Spencer,2017,10-Jul-17,Deep Hole,38.18116,-86.95795,5.8,0.5,33.8,9,17.2,9.3,7.1,244.5,242.4,66.5,101,0.226,0.019,0.014,3.664,NA,NA,NA,NA,0.096,0.494,49.661,NA,203921,13353283,84.1,98,11225234,200199,1978863,3573,122584,123,26268,26,212,0,122,0,83.75,243.45,8.2,0.1225,1.839,NA,0,NA,0.295,70,69,86,70,75,NA,1.485,4.849,FALSE,Hypereutrophic
250,82,2419,1038,Cagles Mill (Cataract),566.58,impoundment,71,11,Putnam,2015,11-Aug-15,deep hole,39.4714,-86.90068,12.5,0.6,9.399,8.2,45.45,9.2,7.8,272,335,110.5,134,0.0645,0.648,0.018,0.079,1.026,0.639,0.01,0.0185,NA,NA,29.67,NA,143315,10628183,77.5,95,8238346,135782,1952597,7096,222899,223,213983,214,313,0,45,0,122.25,303.5,8.5,0.35625,0.0485,0.8325,0.784,0.01425,NA,67,64,NA,NA,NA,NA,NA,NA,FALSE,Eutrophic
264,328,2713,1038,Cagles Mill (Cataract),566.58,impoundment,71,8,Putnam,2018,31-Jul-18,Deep Hole,39.47762,-86.8996,10.7,0.9,1755,8.86,NA,7.9,7.3,287,408.2,111,161,NA,NA,0.015,1.248,NA,NA,0.008,0.051,0.027,0.338,33.402,NA,0,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,28,0,136,347.6,7.6,NA,0.6315,NA,0,0.0295,0.1825,62,65,79,52,69,NA,0.608,1.755,FALSE,Hypereutrophic
288,141,2493,1038,Cagles Mill (Cataract),566.58,impoundment,71,9,Putnam,2016,3-Aug-16,Deep Hole,39.47747,-86.89954,11.7,0.4,5.924,6.2,NA,7.3,6.4,227,337,83,132,0.211,0.729,0.015,0.926,NA,NA,0.002,0.009,0.048,0.069,62.398,NA,167413,26997649,88.2,95,23823439,159488,2237906,4421,552789,553,383386,2951,90,0,39,0,107.5,282,6.85,0.47,0.4705,NA,0,0.0055,0.0585,73,71,63,60,69,NA,1.284,1.973,FALSE,Hypereutrophic
228,125,2476,212,Ferdinand City Old,6.07,impoundment,72,4,Dubois,2016,18-Jul-16,Deep Hole,38.22528,-86.84635,5.5,1.6,7.533,10,NA,8.3,6.4,142,200,64,73.5,0.0086,0.0086,0.066,0.165,NA,NA,0.002,0.002,0.03,0.073,23.01,NA,3828,1135010,7.5,27,85593,1043,385171,2123,21398,21,641950,641,298,0,600,0,68.75,171,7.35,0.0086,0.1155,NA,0,0.002,0.0515,53,61,61,53,58,NA,0.646,1.103,FALSE,Eutrophic
321,126,2477,211,Ferdinand City New,4.05,impoundment,71,4,Dubois,2016,18-Jul-16,Deep Hole,38.21495,-86.83443,4.3,0.4,1.85,5.5,NA,7.4,7.4,157,214,49,42,1.25,0.537,0.164,1.488,NA,NA,0.004,0.011,0.224,0.109,NA,NA,42927,16787097,5,40,847016,17308,12054378,21735,811352,811,3067090,3067,7065,6,196,0,45.5,185.5,7.4,0.8935,0.826,NA,0,0.0075,0.1665,73,NA,78,82,NA,NA,3.638,3.004,FALSE,NA
295,275,2656,211,Ferdinand City New,4.05,impoundment,71,3,Dubois,2018,2-Jul-18,Deep Hole,38.2162,-86.8337,4.3,0.55,12.2,4.264,NA,7.4,7.1,113.6,266.7,63,90,0.39,0.008,0.072,2.136,NA,NA,0.008,0.028,0.049,0.047,80.164,NA,0,1611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,0,391,0,76.5,190.15,7.25,0.199,1.104,NA,0,0.018,0.048,69,74,60,60,68,NA,0.661,1.404,FALSE,Hypereutrophic
252,135,2486,1428,Shaffer,522.47,impoundment,56,6,White,2016,25-Jul-16,Deep Hole,40.78653,-86.76891,5.7,0.9,4.697,8.2,NA,6.2,NA,519,312,197,NA,2.1405,NA,0.014,NA,NA,NA,0.008,NA,0.072,NA,30.425,NA,5495,1863436,8.6,38,160487,2095,1560293,3247,53496,63,89160,90,NA,NA,NA,NA,197,415.5,6.2,2.1405,0.0086,NA,0,0.008,0.072,62,64,66,66,64,NA,2.715,NA,FALSE,Eutrophic
253,136,2487,89,Freeman,626.07,impoundment,55,6,Carroll,2016,25-Jul-16,Deep Hole,40.66028,-86.75381,10.52,1,6.384,9.02,NA,6.15,6.1,474,513,173.5,191,0.961,1.96,0.015,0.264,NA,NA,0.006,0.066,0.059,0.105,29.69,NA,22084,4770270,49,72,2335980,15968,2335982,6018,89160,89,8916,9,194,0,38,0,182.25,493.5,6.125,1.4605,0.1395,NA,0,0.036,0.082,60,64,68,63,64,NA,1.758,2.548,FALSE,Eutrophic
30,190,2557,228,Patoka Reservoir,3593.74,impoundment,71,5,Dubois,2017,10-Jul-17,Deep Hole,38.43914,-86.66241,7.3,1.2,60,10.5,100,8.2,7.8,180.6,174.2,68.5,63,0.008,0.009,0.014,0.014,NA,NA,NA,NA,0.004,0.003,1.857,NA,3435,1300474,17.2,60,223278,2049,971920,1280,39402,40,65670,66,68,0,136,0,65.75,177.4,8,0.0085,0.014,NA,0,NA,0.0035,57,37,22,24,39,NA,0.1,0.292,FALSE,Mesotrophic
132,186,2553,983,Tipsaw,574,impoundment,71,4,Perry,2017,5-Jul-17,Deep Hole,38.13105,-86.63752,6,1.3,17.5,11.75,66.7,8.5,6.4,145,149,56,51,0.008,0.011,0.014,0.154,NA,NA,0.006,0.007,0.02,0.069,6.028,NA,6093,972316,23,74,223278,4514,661081,1492,35024,35,52536,52,342,0,55,0,53.5,147,7.45,0.0095,0.084,NA,0,0.0065,0.0445,56,48,59,47,54,NA,0.789,0.947,FALSE,Mesotrophic
100,27,2353,715,Hog,23.88,natural lake,56,3,LaPorte,2015,14-Jul-15,deep hole,41.70546,-86.62885,16.8,2.4,10.11,10.824,35.71,7.1,6.7,395,535,63,73,0.013,0.013,0.018,1.396,0.518,2.478,0.01,0.014,0.016,0.058,4.48,NA,136316,1925916,71.3,99,1373057,134926,258564,1096,NA,NA,294227,294,30,0,38,0,68,465,6.9,0.013,0.707,1.498,0.791,0.012,0.037,47,45,56,44,49,NA,NA,NA,FALSE,Mesotrophic
16,124,2475,973,Celina,66.37,impoundment,71,4,Perry,2016,18-Jul-16,Deep Hole,38.18147,-86.623,15.54,3.2,17.47,16,NA,7.7,7.3,102,113,35,39.5,0.0245,0.127,0.105,0.153,NA,NA,0.002,0.002,0.014,0.018,1.378,NA,5066,508274,34,89,172646,4524,279638,488,7296,6,48633,48,51,0,10,0,37.25,107.5,7.5,0.07575,0.129,NA,0,0.002,0.016,43,34,44,42,40,NA,0.139,0.364,FALSE,Oligotrophic
300,246,2612,1115,Bass,544.32,natural lake,56,12,Starke,2017,8-Aug-17,Deep Hole,41.21217,-86.61181,7,0.2,0.28,1.5,57,8,NA,236.4,NA,99,NA,0.008,NA,0.014,NA,NA,NA,0.002,NA,0.108,NA,106.088,NA,133884,9946900,42.8,74,4255432,98891,5060985,34309,560386,614,70048,70,40,0,9,0,99,236.4,8,0.008,0.014,NA,0,0.002,0.108,83,76,72,72,77,NA,2.706,NA,FALSE,Hypereutrophic
287,133,2484,1115,Bass,544.32,natural lake,56,6,Starke,2016,25-Jul-16,Deep Hole,41.2365,-86.57427,6.71,0.2,0.8634,3.3,NA,8,6.2,166,211,69,76,0.0086,0.0086,0.014,0.17,NA,NA,0.014,0.006,0.096,0.12,61.517,NA,286467,11679920,90.2,99,10538664,283454,731110,1872,383387,1061,26748,80,11,0,NA,NA,72.5,188.5,7.1,0.0086,0.0893,NA,0,0.01,0.108,83,71,72,70,75,NA,2.474,2.903,FALSE,Hypereutrophic
301,286,2671,735,Tamarack,8.09,natural lake,56,4,LaPorte,2018,10-Jul-18,Deep Hole,41.52045,-86.5693,1.5,2.624,10.22,0.8,NA,8.2,NA,443.9,NA,172,NA,0.008,NA,0.09,NA,NA,NA,0.05,NA,0.025,0.043,100.947,NA,5,4856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4751,5,105,0,172,443.9,8.2,0.008,0.09,NA,0,0.05,0.034,46,76,55,51,59,NA,0.646,0.923,FALSE,Hypereutrophic
209,26,2352,712,Fish (Upper),56.25,natural lake,56,3,LaPorte,2015,14-Jul-15,deep hole,41.57161,-86.54636,7.1,1.2,10.03,10.168,56.33,8.3,7.1,445,523,198,226,0.013,0.013,0.018,0.611,0.6865,1.373,0.01,0.01,0.036,0.053,15.59,NA,2335304,3424176,94.8,100,3245409,2335126,NA,NA,NA,NA,178320,178,363,0,84,0,212,484,7.7,0.013,0.3145,1.02975,0.71525,0.01,0.0445,57,58,59,56,58,NA,NA,NA,FALSE,Eutrophic
10,1,2311,782,Griffy,52.61,impoundment,71,0,Monroe,2015,30-Apr-15,Deep hole,39.2047,-86.52731667,9,5.2,NA,NA,100,7.7,7.3,345,661,119,144,0.26,0.345,0.018,0.018,0.2855,0.23,0.01,0.01,0.01,0.01,1.33,NA,1552,375635,21.4,42,80244,651,285311,820,NA,NA,8916,80,894,1,270,0,131.5,503,7.5,0.3025,0.018,0.25775,0.23975,0.01,0.01,36,33,37,37,35,NA,NA,NA,FALSE,Oligotrophic
23,252,2621,782,Griffy,52.61,impoundment,71,13,Monroe,2017,15-Aug-17,deep hole,39.20479,-86.52632,9.6,3.9,22.4,11.5,52.1,8.3,7.2,349.3,314.2,117,180,0.008,NA,0.014,NA,NA,NA,0.005,0.047,0.018,0.038,1.591,NA,6663,834650,14.5,76,120692,5044,564409,1421,63895,113,85193,85,321,0,140,0,148.5,331.75,7.75,0.008,0.014,NA,0,0.026,0.028,40,35,52,46,42,NA,0.385,1.193,FALSE,Oligotrophic
141,159,2514,786,Monroe (Lower),4353.75,impoundment,71,11,Monroe,2016,10-Aug-16,Lower Basin,39.01086,-86.51666667,NA,NA,NA,NA,NA,6.4,6.5,NA,NA,35.5,57,0.008,0.008,0.015,0.444,NA,NA,0.002,0.1905,0.003,0.015,6.718,NA,69662,4306487,84.1,97,3619879,67877,579538,1606,71328,143,35664,36,64,0,14,0,46.25,NA,6.45,0.008,0.2295,NA,0,0.09625,0.009,NA,49,36,20,NA,NA,0.1,0.33,FALSE,Mesotrophic
211,160,2515,789,University,3.24,impoundment,71,11,Monroe,2016,10-Aug-16,Deep Hole,39.18833,-86.50167,10.3,1.1,NA,NA,NA,7.15,6.65,440,1054,127.5,282,0.008,0.008,0.081,7.106,NA,NA,0.006,0.3655,0.043,0.462,16.818,NA,7247,1283330,32.7,87,419455,6274,462008,571,200609,201,200609,200,615,1,34,0,204.75,747,6.9,0.008,3.5935,NA,0,0.18575,0.2525,59,58,84,58,67,NA,0.94,7.924,FALSE,Eutrophic
89,312,2698,789,University,3.24,impoundment,71,7,Monroe,2018,25-Jul-18,Deep Hole,39.189444,-86.501389,10.4,3.4,136.3,14.76,NA,8.1,7.1,469.1,829.4,124,257,0.008,0.008,0.014,5.409,NA,NA,0.004,0.334,0.066,1.286,3.46,NA,0,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,0,15,0,190.5,649.25,7.6,0.008,2.7115,NA,0,0.169,0.676,42,43,98,65,61,NA,1.187,3.612,FALSE,Mesotrophic
